TransactionID,SuccessfulOrder,FlavorCategory,CustomerGender,CustomerAge,ToppingsCount,ScoopsCount,TotalCost,PaymentMethod,CustomerName
1,0,1,Female,18,0,3,127.30810714782277,UPI,Rahul Ali
2,0,2,Female,30,1,3,262.39861119791397,UPI,Aarav Sastry
3,0,3,Male,11,1,2,185.2533433813374,Card,Isha Joshi
4,0,2,Female,50,0,1,117.67443089918768,UPI,Vivaan Pillai
5,0,1,Female,45,2,1,107.0316281135367,UPI,Suresh Dubey
6,0,2,Male,17,0,1,117.04836767832333,Card,Diya Patil
7,0,3,Male,43,0,2,162.24550795409618,UPI,Aarav Saha
8,0,3,Male,12,0,3,179.84199083783767,UPI,Nisha Das
9,0,1,Female,5,1,2,143.27396384782813,UPI,Pooja Singh
10,0,1,Female,29,0,2,120.85507029056764,UPI,Kavita Reddy
11,0,1,Male,45,0,3,240.91470979578918,UPI,Aditi Iyengar
12,0,1,Female,21,1,2,215.3427731435444,UPI,Krish Sastry
13,0,1,Male,35,0,3,172.3664082730623,UPI,Ayaan Nair
14,0,1,Male,34,2,2,194.4950914878416,UPI,Zoya Sharma
15,0,1,Female,16,1,1,172.20658312381119,UPI,Myra Yadav
16,0,2,Male,13,1,1,171.03510501043542,UPI,Kabir Das
17,0,2,Female,32,1,2,186.6191235903764,Cash,Ankit Patil
18,0,1,Female,28,2,1,234.65317350197515,UPI,Rohan Patel
19,0,1,Male,10,2,2,143.8997402963613,UPI,Kabir Singh
20,0,1,Female,19,2,2,177.25752958500726,UPI,Jatin Yadav
21,0,3,Female,38,1,2,156.9756241301595,UPI,Siddharth Choudhury
22,0,1,Male,30,4,2,268.4680253098553,UPI,Priya Iyer
23,0,3,Male,39,0,1,113.28744197544947,Card,Siddharth Sastry
24,0,1,Male,21,2,2,234.93522904516612,UPI,Rahul Kumar
25,0,1,Male,28,1,1,213.0857191859506,UPI,Arjun Aggarwal
26,0,3,Female,27,4,1,200.7943087931354,UPI,Jatin Kumar
27,0,2,Female,16,0,1,182.0461797994433,UPI,Isha Yadav
28,0,2,Female,25,2,1,109.33306027531444,UPI,Krish Goel
29,0,2,Male,18,2,2,240.148766356343,UPI,Deepa Singh
30,0,1,Male,34,2,3,231.98018666524496,UPI,Arjun Bhattacharya
31,0,1,Male,28,0,1,113.12453168378718,UPI,Deepa Chakraborty
32,0,1,Female,32,0,1,167.6838507826676,UPI,Deepa Gupta
33,0,2,Female,36,0,4,154.3356909167839,UPI,Ananya Nair
34,0,2,Female,34,0,2,140.7326631664005,UPI,Rahul Joshi
35,0,2,Male,26,1,3,247.6581800388749,Cash,Mohit Das
36,0,1,Female,30,2,2,194.07657676784368,Card,Nisha DSouza
37,0,1,Male,18,0,2,114.96649311347687,Cash,Geeta Prasad
38,0,2,Male,31,1,2,116.05868642566753,UPI,Riya Hegde
39,0,1,Male,18,0,2,121.4312410346493,Card,Sunita Ali
40,0,1,Female,11,3,1,250.79925754813294,UPI,Zoya Choudhury
41,0,1,Female,24,4,1,240.64277142493364,UPI,Diya Sastry
42,0,1,Female,12,1,1,197.49990676379105,UPI,Myra Bhattacharya
43,0,2,Female,38,2,1,120.35575534678327,UPI,Diya Saha
44,0,2,Female,29,2,2,268.7993470763074,UPI,Mohit Mukherjee
45,0,1,Female,39,1,2,243.12931458919218,UPI,Jatin Joshi
