CustomerID,CustomerName,CustomerAge,Gender,City
1001,Isha Hegde,54,Male,Delhi
1002,Kavita DSouza,21,Male,Kolkata
1003,Diya Gupta,19,Female,Kolkata
1004,Vivaan Iyengar,45,Male,Hyderabad
1005,Ananya Iyengar,18,Female,Chennai
1006,Sneha Rao,29,Male,Kolkata
1007,Priya Verma,21,Male,Kolkata
1008,Pooja Ali,18,Male,Delhi
1009,Kavita Pillai,31,Male,Mumbai
1010,Aarav Yadav,26,Female,Delhi
1011,Rohan Das,43,Female,Bangalore
1012,Rahul Goel,26,Female,Hyderabad
1013,Deepa Yadav,34,Female,Delhi
1014,Priya DSouza,48,Female,Bangalore
1015,Suresh Gupta,35,Female,Chennai
1016,Geeta Saha,38,Female,Pune
1017,Ananya Kumar,43,Male,Kolkata
1018,Geeta Chakraborty,25,Female,Mumbai
1019,Pooja Iyengar,18,Male,Delhi
1020,Isha Patel,29,Male,Kolkata
1021,Kavita Sharma,49,Female,Hyderabad
1022,Nisha Patil,25,Male,Delhi
1023,Kabir Reddy,34,Male,Kolkata
1024,Rahul DSouza,21,Female,Kolkata
1025,Suresh Choudhury,31,Female,Pune
1026,Ankit Reddy,39,Male,Mumbai
1027,Zoya Nair,29,Female,Chennai
1028,Aditi Kumar,57,Male,Bangalore
1029,Ananya Chakraborty,39,Male,Kolkata
1030,Diya Prasad,31,Male,Pune
1031,Sneha Singh,28,Male,Mumbai
1032,Sunita Nair,58,Female,Hyderabad
1033,Sneha Choudhury,18,Female,Hyderabad
1034,Mohit Chakraborty,29,Male,Bangalore
1035,Aditi Choudhury,20,Male,Bangalore
1036,Rahul Pillai,47,Male,Hyderabad
1037,Ayaan Iyengar,45,Male,Mumbai
1038,Arjun Singh,38,Female,Delhi
1039,Aditi Khan,30,Female,Kolkata
1040,Kavita Ali,40,Female,Pune
1041,Sneha Jain,31,Male,Chennai
1042,Ayaan Ghosh,35,Male,Chennai
1043,Ananya Mishra,22,Female,Hyderabad
1044,Vivaan Kumar,26,Female,Chennai
1045,Riya Patel,31,Male,Chennai
1046,Ankit Choudhury,33,Female,Kolkata
1047,Diya Choudhury,30,Male,Pune
1048,Jatin Das,57,Male,Hyderabad
1049,Zoya Sharma,35,Male,Chennai
1050,Aarav Hegde,22,Female,Hyderabad
1051,Krish Hegde,18,Male,Bangalore
1052,Aarav Mishra,39,Male,Chennai
1053,Siddharth Jain,44,Male,Kolkata
1054,Vivaan Dubey,18,Male,Mumbai
1055,Myra Yadav,44,Female,Pune
1056,Sneha Rao,18,Female,Mumbai
1057,Sneha Bhattacharya,18,Male,Hyderabad
1058,Diya Mishra,48,Male,Chennai
1059,Deepa Ali,40,Male,Pune
1060,Suresh Mishra,31,Female,Hyderabad
1061,Jatin Yadav,33,Female,Hyderabad
1062,Aditi Jain,44,Male,Kolkata
1063,Geeta Gupta,44,Male,Mumbai
1064,Rohan Reddy,37,Male,Hyderabad
1065,Nisha Saha,22,Male,Bangalore
1066,Geeta Saha,27,Male,Chennai
1067,Ayaan Kumar,44,Male,Delhi
1068,Ananya Hegde,25,Male,Mumbai
1069,Kavita Das,24,Male,Delhi
1070,Sunita Dubey,39,Male,Mumbai
1071,Sunita Gowda,41,Female,Chennai
1072,Deepa Mehta,21,Female,Kolkata
1073,Sunita Das,38,Female,Delhi
1074,Diya Verma,36,Female,Chennai
1075,Ankit Das,37,Male,Mumbai
